Census Tract,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6089010803,5970,20.97,65.64,13.38,11.79,71.79,3.05,1.93,10.54,0.9
6089010804,2660,5.56,74.77,19.66,7.67,80.45,0.23,0.26,8.12,3.27
6089010805,4927,13.23,68.4,18.37,12.36,82.24,0.1,0.3,2.88,2.11
6089010806,2803,9.63,67.32,23.05,10.06,82.59,0,4.6,0.86,1.89
6089010807,4643,9.11,66.12,24.77,8.72,84.6,0.67,0,2.91,3.1
6089010900,4043,11.9,65.17,22.93,15.19,62.63,4.43,5,10.73,2.03
6089011001,1785,13.11,66.67,20.22,8.4,82.52,0,0,2.18,6.89
6089011002,5068,11.03,66.85,22.12,15.02,75.63,0.28,0.65,4.3,4.12
6089011100,3176,15.08,62.91,22.01,5.01,88.41,0.66,1.76,0.5,3.65
6089011209,6545,15.42,71.2,13.38,20.03,56.91,1.83,1.51,10.24,9.47
6089011300,4905,11.11,76.72,12.17,9.97,72.6,3.2,2.71,2.02,9.5
6089011401,4026,12.37,69,18.63,8.2,81.25,0.02,3.18,2.11,5.24
6089011402,3426,11.15,70.11,18.74,13.81,72.59,0.03,2.39,8.09,3.09
6089011403,2885,16.01,71.2,12.79,4.02,80.24,0.94,0.28,7.04,7.49
6089011500,5672,11.51,62.43,26.06,5.69,91.22,0.04,0,2.43,0.62
6089011600,3707,13.03,66.06,20.91,8.71,76.48,2.13,2.13,5.77,4.77
6089011701,2405,16.84,64.03,19.13,4.95,77.17,0.29,3.95,2.95,10.69
6089011702,3479,15.18,68.58,16.24,9.74,83.41,1.52,3.45,0.03,1.84
6089011703,3326,15.03,69.12,15.84,15.24,76.01,2.19,2.25,0.39,3.91
6089011801,2245,6.82,65.52,27.66,7.13,87.26,0.62,1.07,2.85,1.07
6089011802,2615,8.49,67.07,24.44,6.16,84.78,1.22,0.84,3.48,3.52
6089011803,2681,10.52,63.45,26.04,7.91,89.41,0.07,0.26,0.26,2.09
6089011900,4384,8.35,67.5,24.16,5.22,86.02,0.5,1.82,0.59,5.84
6089012000,4678,17.34,70.22,12.44,13.17,73.6,0.26,5.17,3.47,4.34
6089012101,4562,16.92,68.76,14.31,15.04,75.43,3.18,2.06,1.71,2.59
6089012102,2097,12.11,60.32,27.56,5.39,81.59,0.95,1.86,7.06,3.15
6089012200,6073,18.59,66.87,14.54,12.45,82.88,0.03,1.2,0.92,2.52
6089012301,2580,8.41,69.22,22.36,33.18,62.44,1.01,3.37,0,0
6089012302,5299,9.17,68.64,22.19,11.59,84.17,0,0.94,0.04,3.26
6089012303,4042,10.86,69.5,19.64,6.63,87.36,0.45,1.73,2.03,1.81
6089012400,3575,6.88,67.5,25.62,5.54,86.74,0.08,1.31,1.37,4.95
6089012500,1670,6.95,64.97,28.08,5.21,81.98,0.48,2.16,3.77,6.41
6089012601,5123,10.54,64.4,25.06,5.95,88.03,0.66,3.38,0.33,1.64
6089012603,4175,6.04,60.62,33.34,5.56,89.46,0.84,1.15,0.91,2.08
6089012604,2107,5.84,62.65,31.51,8.21,83.06,0.52,5.08,0.05,3.08
6089012701,4881,15.86,64.13,20.02,8.09,82.44,1.04,2.19,1.8,4.43
6089012702,2774,7.71,61.1,31.18,13.3,78.3,0.18,5.7,0.25,2.27
6091010000,3040,9.01,61.64,29.34,10.66,87.57,0.07,0.95,0,0.76
6093000100,1076,17.75,64.13,18.12,62.73,36.34,0.65,0,0,0.28
6093000200,1711,12.86,68.91,18.23,38.05,57.1,0.76,2.69,0.47,0.94
6093000300,3939,8.17,66.01,25.82,9.75,80.32,0.18,3.5,1.96,4.29
6093000400,656,10.67,56.1,33.23,5.95,88.41,0,2.29,0,3.35
6093000500,1834,10.58,65.92,23.5,11.34,58.56,1.15,14.34,1.04,13.58
6093000600,1733,12.64,57.99,29.37,6.69,80.5,0,2.42,5.65,4.73
6093000701,3777,12.1,61.5,26.4,5.22,86.31,0.11,0.87,3.26,4.24
6093000702,4436,16.57,64.77,18.67,16.91,66.01,2.61,5.93,0.45,8.09
6093000703,3354,16.91,61.18,21.91,7.66,77.43,0.09,3.07,3.22,8.53
6093000800,3625,10.01,63.01,26.98,3.53,79.14,0.72,9.02,0.55,7.03
6093000900,7510,9.36,68.24,22.4,15.33,71.6,5.79,1.33,3.49,2.46
6093001000,6544,12.47,59.26,28.27,7.93,88.88,0.76,0,0.6,1.83
6093001100,2012,13.42,59.89,26.69,14.81,76.84,0.05,1.94,2.29,4.08
6093001200,1261,7.45,57.41,35.13,7.45,87.79,0.08,1.59,0,3.09
6095250103,4873,12.25,69.9,17.85,19.27,20.62,23.33,0,32.08,4.7
6095250104,2233,6.9,68.56,24.54,9.67,24.14,8.64,0.94,46.13,10.48
6095250105,6655,8.93,68.37,22.7,13.06,20.57,9.45,0.27,51.57,5.08
6095250106,4541,10.17,75.05,14.78,7.42,25.94,17.24,0,41.64,7.75
6095250200,4355,9.97,73.8,16.23,23.88,32.54,16.12,0.09,21.79,5.58
6095250300,3038,11.95,67.81,20.24,24.88,28.41,20.67,0,22.02,4.02
6095250400,3002,10.79,75.45,13.76,26.05,53.86,2.6,0,8.66,8.83
6095250501,2189,12.43,76.7,10.87,33.94,36.96,18.04,0,4.75,6.3
6095250502,3578,8.89,72.41,18.7,28.73,23.56,10.34,0,24.51,12.86
6095250601,5289,14.62,75.5,9.89,46.89,17.7,20.63,0,10.4,4.39
6095250604,4017,8.12,73.61,18.27,13.44,29.35,16.6,0,34.98,5.63
6095250605,3630,6.78,72.64,20.58,11.74,32.04,18.93,0,35.12,2.18
6095250701,3529,12.52,75.18,12.3,46.56,17.51,21.03,0,9.55,5.36
