"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,2016,5,356,0,27,0,383
Alameda Sheriff's Dept.,Santa Rita Jail,2016,5,1540,167,367,50,2124
Amador Sheriff's Dept.,Amador County Jail,2016,5,42.55,8.84,23.1,6.28,81
Butte Sheriff's Dept.,Butte County Jail,2016,5,291,44,212,35,582
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2016,5,37,9,29,11,86
Colusa Sheriff's Dept.,Colusa County Jail,2016,5,42,6,29,4,81
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2016,5,0,0,52,0,52
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2016,5,554,10,85,1,650
Contra Costa Sheriff's Dept.,West County Detention Facility ,2016,5,403,160,93,38,694
Del Norte Sheriff's Dept.,Del Norte County Jail,2016,5,27,10,55,15,107
El Dorado Sheriff's Dept.,El Dorado County Jail,2016,5,123,25,86,17,251
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2016,5,49,5,49,6,109
Fresno Sheriff's Dept.,Fresno County Main Jail,2016,5,676,14,258,2,950
Fresno Sheriff's Dept.,Fresno North Annex Jail,2016,5,958,0,498,0,1456
Fresno Sheriff's Dept.,Fresno South Annex Jail,2016,5,111,195,29,139,474
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2016,5,48,13,34,10,105
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2016,5,227,28,99,13,367
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2016,5,83,11,10,4,108
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2016,5,159,24,218,39,440
Inyo Sheriff's Dept.,Inyo County Jail,2016,5,19,4,39,10,72
Kern Sheriff's Dept.,Central Receiving Facility,2016,5,128,36,22,9,195
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2016,5,253,0,92,0,345
Kern Sheriff's Dept.,Lerdo Minimum,2016,5,182,32,361,61,636
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2016,5,744,113,266,50,1173
Kings Sheriff's Dept.,Kings County Branch Jail ,2016,5,52,14,11,42,119
Kings Sheriff's Dept.,Kings County Jail Facility,2016,5,237,27,58,12,334
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2016,5,139,15,97,20,271
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2016,5,47.2,6.4,45.5,12.5,112
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2016,5,0,1248,0,727,1975
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2016,5,2805,0,1484,0,4289
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2016,5,2331,0,1470,0,3801
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2016,5,0,0,68,0,68
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2016,5,918,0,591,0,1509
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),2016,5,452,0,809,0,1261
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2016,5,2386,20,914,105,3425
Madera Corrections Dept.,Madera Adult Correctional Fac,2016,5,271,42,78,5,396
Marin Sheriff's Dept.,Marin County Jail,2016,5,210,34,61,20,325
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2016,5,20,0,23,2,45
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2016,5,110,55,119,25,309
Merced Sheriff's Dept.,John Latorraca Correctional Center,2016,5,410,53,53,10,526
Merced Sheriff's Dept.,Merced County Jail ,2016,5,178,0,9,0,187
Modoc Sheriff's Dept.,Modoc County Jail,2016,5,0,0,0,0,0
Mono Sheriff's Dept.,Mono County Jail ,2016,5,13,4,10,3,30
Monterey Sheriff's Dept.,Monterey County Jail ,2016,5,456,60,293,47,856
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2016,5,0,0,0,0,0
Napa Corrections Dept.,Napa County Jail ,2016,5,111,15,76,11,213
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2016,5,131,26,44,8,209
Orange Sheriff's Dept.,Intake Release Center ,2016,5,292,177,121,153,743
Orange Sheriff's Dept.,James A Musick Facilities,2016,5,119,33,433,134,719
Orange Sheriff's Dept.,Orange County Mens Jail ,2016,5,693,0,359,0,1052
Orange Sheriff's Dept.,Orange County Women's Jail,2016,5,0,146,0,163,309
Orange Sheriff's Dept.,Theo Lacy,2016,5,1627,0,1640,0,3267
Placer Sheriff's Dept.,Placer County Main Jail ,2016,5,320,43,58,11,432
Placer Sheriff's Dept.,So. Placer Minimum Security,2016,5,8,0,110,0,118
Placer Sheriff's Dept.,South Placer Jail,2016,5,84,3,16,43,146
Plumas Sheriff's Dept.,Plumas County Jail ,2016,5,37.16,8.68,8.39,2.81,57
Riverside Sheriff's Dept.,Blythe Jail ,2016,5,56,0,54,0,110
Riverside Sheriff's Dept.,Indio Jail ,2016,5,259,27,69,21,376
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2016,5,805,130,416,91,1442
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,2016,5,414,115,172,44,745
Riverside Sheriff's Dept.,Southwest Detention Center,2016,5,738,5,380,1,1124
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,2016,5,658,31,967,165,1821
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,2016,5,1438,182,403,56,2079
San Benito Sheriff's Dept.,San Benito Adult Detention ,2016,5,65,15,32,6,118
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,2016,5,483,76,182,39,780
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,2016,5,111,104,384,100,699
San Bernardino Sheriff's Dept.,San Bernardino High Desert Detention Center,2016,5,1010,0,240,0,1250
San Bernardino Sheriff's Dept.,West Valley Detention Center ,2016,5,1971,304,273,44,2592
San Diego Sheriff's Dept.,East Mesa Reentry Facility,2016,5,185,0,543,0,728
San Diego Sheriff's Dept.,George Bailey Detention Facility,2016,5,730,0,842,0,1572
San Diego Sheriff's Dept.,Las Colinas Women's Detention,2016,5,0,373,0,408,781
San Diego Sheriff's Dept.,San Diego Central Detention ,2016,5,688,0,280,0,968
San Diego Sheriff's Dept.,San Diego Facility #8,2016,5,96,0,53,0,149
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,2016,5,252,0,161,0,413
San Diego Sheriff's Dept.,Vista Facility ,2016,5,453,60,229,13,755
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2016,5,8.451,0,212.226,82.29,303
San Francisco Sheriff's Dept.,San Francisco County Jail #2,2016,5,107.1,105.4,18.9,18.6,250
San Francisco Sheriff's Dept.,San Francisco County Jail #3,2016,5,0,0,0,0,0
San Francisco Sheriff's Dept.,San Francisco County Jail #4,2016,5,283.9,0,50.1,0,334
San Francisco Sheriff's Dept.,San Francisco County Jail #5,2016,5,562.7,0,99.3,0,662
San Francisco Sheriff's Dept.,San Francisco County Jail #6,2016,5,0,0,0,0,0
San Joaquin Sheriff's Dept.,John J. Zunino Facility,2016,5,706,90,146,35,977
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2016,5,40,5,212,26,283
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2016,5,221,34,189,26,470
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2016,5,0,2,50,13,65
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2016,5,516,4,255,2,777
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,2016,5,0,0,31,0,31
San Mateo Sheriff's Dept.,Womens Correctional Center ,2016,5,0,58,0,32,90
San Mateo Sheriff's Dept.,Womens Transitional Fac,2016,5,0,0,0,15,15
Santa Ana Police Dept.,Santa Ana Police Facility,2016,5,249,87,0,0,336
Santa Barbara Sheriff's Dept.,Medium Security Facility,2016,5,123,27,83,14,247
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2016,5,530,70,171,29,800
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2016,5,0,0,0,0,0
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2016,5,1287,0,644,0,1931
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2016,5,0,265,0,144,409
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2016,5,1088,0,150,0,1238
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2016,5,0,0,0,8,8
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2016,5,197,20,81,8,306
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,2016,5,29,0,54,0,83
Shasta Sheriff's Dept.,Shasta County Main Jail ,2016,5,232,41,56,6,335
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,2016,5,77,10,9,0,96
Solano Sheriff's Dept.,Claybank Facility ,2016,5,143,38,76,18,275
Solano Sheriff's Dept.,Solano County Justice Center ,2016,5,408,56,106,11,581
Solano Sheriff's Dept.,Stanton Correctional Facility,2016,5,48,0,29,0,77
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,2016,5,340,89,195,89,713
Sonoma Sheriff's Dept.,Sonoma-North County Facility,2016,5,140,0,220,0,360
Stanislaus Sheriff's Dept.,Public Safety Cntr Units 1 & 2,2016,5,166,17,148,20,351
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,2016,5,341,73,68,30,512
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,2016,5,297,0,72,0,369
Sutter Sheriff's Dept.,Sutter County Jail ,2016,5,118,27,45,15,205
Tehama Sheriff's Dept.,Tehama County Jail ,2016,5,98,13,68,22,201
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,2016,5,35,6,6,0,47
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,2016,5,378,69,152,78,677
Tulare Sheriff's Dept.,Men's Correctional Facility,2016,5,126,0,157,0,283
Tulare Sheriff's Dept.,Pre-Trial Facility,2016,5,225,40,73,46,384
Tulare Sheriff's Dept.,Tulare County Jail ,2016,5,103,0,166,0,269
Tuolumne Sheriff's Dept.,Tuolumne County Jail ,2016,5,77,30,28,10,145
Ventura Sheriff's Dept.,Todd Road Jail,2016,5,318,107,300,100,825
Ventura Sheriff's Dept.,Ventura County Main Jail ,2016,5,557,6,256,5,824
Yolo Sheriff's Dept.,Leinberger Center ,2016,5,45,5,39,7,96
Yolo Sheriff's Dept.,Monroe Detention Center ,2016,5,190,23,51,6,270
Yuba Sheriff's Dept.,Yuba County Jail ,2016,5,285,27,52,19,383
Alameda Sheriff's Dept.,Glen Dyer Jail,2016,6,355,0,23,0,378
Alameda Sheriff's Dept.,Santa Rita Jail,2016,6,1511,178,385,45,2119
Amador Sheriff's Dept.,Amador County Jail,2016,6,36.1,6,26.23,9.17,78
Butte Sheriff's Dept.,Butte County Jail,2016,6,303,45,204,34,586
Calaveras Sheriff's Dept.,Calaveras Co. Adult Detention Facility,2016,6,37,10,31,13,91
Colusa Sheriff's Dept.,Colusa County Jail,2016,6,52,5,27,1,85
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2016,6,0,0,47,0,47
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2016,6,562,14,75,1,652
Contra Costa Sheriff's Dept.,West County Detention Facility ,2016,6,449,131,78,33,691
Del Norte Sheriff's Dept.,Del Norte County Jail,2016,6,36,13,46,12,107
El Dorado Sheriff's Dept.,El Dorado County Jail,2016,6,144,27,75,18,264
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2016,6,47,8,55,6,116
Fresno Sheriff's Dept.,Fresno County Main Jail,2016,6,694,17,242,4,957
Fresno Sheriff's Dept.,Fresno North Annex Jail,2016,6,983,0,504,0,1487
Fresno Sheriff's Dept.,Fresno South Annex Jail,2016,6,117,205,30,126,478
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2016,6,50,12,25,8,95
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2016,6,239,38,90,14,381
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2016,6,82,13,3,4,102
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2016,6,161,20,197,12,390
Inyo Sheriff's Dept.,Inyo County Jail,2016,6,20,4,38,8,70
Kern Sheriff's Dept.,Central Receiving Facility,2016,6,96,29,16,7,148
Kern Sheriff's Dept.,Lerdo Maximum/Medium,2016,6,332,0,95,0,427
Kern Sheriff's Dept.,Lerdo Minimum,2016,6,148,24,356,64,592
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2016,6,665,91,301,55,1112
Kings Sheriff's Dept.,Kings County Branch Jail ,2016,6,62,15,48,12,137
Kings Sheriff's Dept.,Kings County Jail Facility,2016,6,235,30,67,15,347
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2016,6,148,18,101,21,288
